"dataset","modality","node","eccentricity.cv","Group"
"2","2",98,0.410301230136036,"NKI Functional"
"1","1",99,0.124602806982417,"CALM Structural"
"2","1",99,0.164455310427474,"NKI Structural"
"1","2",99,0.256520571981477,"CALM Functional"
"2","2",99,0.392975745829892,"NKI Functional"
"1","1",100,0.116933360618322,"CALM Structural"
"2","1",100,0.133980802128422,"NKI Structural"
"1","2",100,0.389125923951716,"CALM Functional"
"2","2",100,0.36684583880183,"NKI Functional"
"1","1",101,0.0832658593880781,"CALM Structural"
"2","1",101,0.0922337792198877,"NKI Structural"
"1","2",101,0.372680227973583,"CALM Functional"
"2","2",101,0.376075745559433,"NKI Functional"
"1","1",102,0.0918160540360867,"CALM Structural"
"2","1",102,0.0960299047445785,"NKI Structural"
"1","2",102,0.348498888761768,"CALM Functional"
"2","2",102,0.334223057374139,"NKI Functional"
"1","1",103,0.076060827994857,"CALM Structural"
"2","1",103,0.0796034091914837,"NKI Structural"
"1","2",103,0.31935162254945,"CALM Functional"
"2","2",103,0.316045279677091,"NKI Functional"
"1","1",104,0.109075241159641,"CALM Structural"
"2","1",104,0.103342569288095,"NKI Structural"
"1","2",104,0.31089601199577,"CALM Functional"
"2","2",104,0.252632550441186,"NKI Functional"
"1","1",105,0.0999257907131006,"CALM Structural"
"2","1",105,0.0949697099889172,"NKI Structural"
"1","2",105,0.298837472143375,"CALM Functional"
"2","2",105,0.336113132815113,"NKI Functional"
"1","1",106,0.0850390637816743,"CALM Structural"
"2","1",106,0.109229936915773,"NKI Structural"
"1","2",106,0.402225069517011,"CALM Functional"
"2","2",106,0.430667183123283,"NKI Functional"
"1","1",107,0.104475407022799,"CALM Structural"
"2","1",107,0.105001501095424,"NKI Structural"
"1","2",107,0.328326213877297,"CALM Functional"
"2","2",107,0.293451664975923,"NKI Functional"
"1","1",108,0.0875429836051886,"CALM Structural"
"2","1",108,0.105795577133768,"NKI Structural"
"1","2",108,0.343814146485922,"CALM Functional"
"2","2",108,0.4058347859723,"NKI Functional"
"1","1",109,0.080370022194654,"CALM Structural"
"2","1",109,0.0906333892460245,"NKI Structural"
"1","2",109,0.339864589990142,"CALM Functional"
"2","2",109,0.279403070081435,"NKI Functional"
